pc11_district_id,pc11_state_id,pc11_subdistrict_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
336,19,02308,65945.33697596936,15673.2670829487,0.3730235824016227,0.30152197667794717,0.0,0.0,1.0,1.0
336,19,02309,68391.44376411207,16062.369620415704,0.3662825958878142,0.2896242910761892,0.0,0.0,1.0,1.0
336,19,02310,73499.78160285066,16928.303092245507,0.2879371126546064,0.21954386025835715,0.0,0.0,1.0,1.0
336,19,02311,62056.20665006041,14641.692272504797,0.41950100386887557,0.33652826957549514,0.0,0.0,1.0,1.0
336,19,02312,67022.81462300342,16301.693657215774,0.3343072731304006,0.2517433336126734,0.0,0.0,1.0,1.0
336,19,02313,74047.1915608902,16732.457697199854,0.2834753161171756,0.20797516271262817,0.0164759521682315,0.0164759521682315,1.0,1.0
336,19,02314,69269.01429211891,16186.209544402063,0.3594221300283558,0.28163174692630194,0.0,0.0,1.0,1.0
336,19,02315,73155.98814183992,17124.81912724604,0.30411576854254874,0.22921414744920182,0.0,0.0,1.0,1.0
337,19,02316,62987.08169931101,15976.959959731461,0.3638355791408987,0.28541650246796335,0.0468856750104949,0.0468856750104949,1.0,1.0
337,19,02317,64447.64373945352,15590.941959978882,0.37725509873212754,0.294715924119305,0.0,0.0,1.0,1.0
337,19,02318,69977.70196827476,16899.68321081316,0.30741318697098385,0.2333464295416268,0.0,0.0,1.0,1.0
337,19,02319,60400.58717924724,14965.113827172938,0.42360478292645926,0.32011759114313276,0.0,0.0,1.0,1.0
337,19,02320,64888.76667257623,15661.414139596014,0.4016668343706921,0.3126899466195863,0.0,0.0,1.0,1.0
337,19,02321,64342.62273508308,15528.56947831049,0.3840400533197785,0.28163041073315853,0.0,0.0,1.0,1.0
337,19,02322,65401.36386931783,14859.367182248076,0.4359648525562652,0.3274552008669461,0.0,0.0,1.0,1.0
337,19,02323,79303.34494584831,19113.19375252536,0.28489241588772,0.20072751835017202,0.0,0.0,1.0,1.0
337,19,02324,81135.39048478646,19262.061754296617,0.23696932910680174,0.15753216266530964,0.0,0.0,1.0,1.0
337,19,02325,68847.58885750135,16520.188660075506,0.3904182826882775,0.2901468889136772,0.0,0.0,1.0,1.0
337,19,02326,68059.22253612068,14599.198844834555,0.4409591542862005,0.34025804834583784,0.0,0.0,1.0,1.0
337,19,02327,68249.60803376847,15549.054683584332,0.37004393031978816,0.28286710044955604,0.0,0.0,1.0,1.0
337,19,02328,66766.05807830331,15925.815655621547,0.3792435575059604,0.28275198422291614,0.0,0.0,1.0,1.0
337,19,02329,63492.52581913948,14183.969878775713,0.4611448961917688,0.35964312141930965,0.0,0.0,1.0,1.0
337,19,02330,62555.23640846087,14187.043810317371,0.47618524139549734,0.37220136916542806,0.0,0.0,1.0,1.0
337,19,02331,64070.03602157356,14155.145116609765,0.44728188206958536,0.35378418462729944,0.0,0.0,1.0,1.0
337,19,02332,88539.72474950513,19919.355950661204,0.2436771461967149,0.17452623152902436,0.0,0.0,1.0,1.0
337,19,02333,58377.726507586136,12646.842027157281,0.5284412626443906,0.4492867842185634,0.0,0.0,1.0,1.0
337,19,02334,57382.807531546416,13002.714630713128,0.4972658771626386,0.4195800729164568,0.0,0.0,1.0,1.0
337,19,02335,54842.82144031273,12764.806235248674,0.5000311626489266,0.43730483840417494,0.0,0.0,1.0,1.0
337,19,02336,59111.74230027752,14003.84860888594,0.4474180972953288,0.36281466846906224,0.0,0.0,1.0,1.0
337,19,02337,55866.255051630986,15410.846671981966,0.37115218426728736,0.32916483835356364,0.0,0.0,1.0,1.0
338,19,02338,78831.97095711634,17997.061311896614,0.23711556739504444,0.1634501693533385,0.0,0.0,1.0,1.0
338,19,02339,82253.99335491133,18531.499179762908,0.2200358785414906,0.1448897619920529,0.0,0.0,1.0,1.0
338,19,02340,69581.57711665891,16027.85195627581,0.3518275301414652,0.272506869953869,0.0,0.0,1.0,1.0
338,19,02341,79731.38501401535,18631.698976525204,0.21219687035796508,0.1502909265798643,0.0,0.0,1.0,1.0
338,19,02342,82337.25568546154,19800.257062492718,0.19527142896088268,0.1368797415537273,0.0,0.0,1.0,1.0
338,19,02343,74580.09976706636,18488.80579118899,0.3099991888925457,0.2383864498019875,0.0,0.0,1.0,1.0
338,19,02344,69856.37131840836,16747.447877161554,0.3886601894041018,0.3088757586524105,0.0130894483248891,0.0130894483248891,1.0,1.0
338,19,02345,74684.0629075681,18302.42606797451,0.2995565089168441,0.2238429666326837,0.0,0.0,1.0,1.0
338,19,02346,85500.94623928439,20555.81223649391,0.30060345812752953,0.22496475088429052,0.0,0.0,1.0,1.0
338,19,02347,68036.89950718897,16329.950502908105,0.4190335039735277,0.3358988448781633,0.0,0.0,1.0,1.0
338,19,02348,81140.94495755111,19108.146914043158,0.2649436380274983,0.19823846004787946,0.0,0.0,1.0,1.0
338,19,02349,86659.55404530455,20367.415361538177,0.22360935863211157,0.1581759759675332,0.0,0.0,1.0,1.0
338,19,02350,82781.71584669303,20031.57982999241,0.17549307345987733,0.11206935333887735,0.0,0.0,1.0,1.0
338,19,02351,81594.07690088468,17545.55207639856,0.3121765208540619,0.2368953493914302,0.0,0.0,1.0,1.0
338,19,02352,84477.42158099664,19981.70793730762,0.24457580720293487,0.16695121576079341,0.0,0.0,1.0,1.0
338,19,02353,76135.11303436084,17229.828055004742,0.3181273643514467,0.2398538839092096,0.0,0.0,1.0,1.0
338,19,02354,73596.35619253654,16705.14736252214,0.29972410950045625,0.22145375581307328,0.0,0.0,1.0,1.0
