ac08_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2008-03-035,136720.64757578418,30092.5579319186,0.0539162159476199,0.03235966227455972,0.0,0.0,1.0,1.0,0.0
2008-03-037,135346.6597291127,29014.905026490866,0.05265914358390621,0.03149824210297144,0.0,0.0,0.9855597732758168,0.7497785581029143,0.0577097894357207
2008-03-038,138902.83422199014,30315.937625621707,0.05432785922655661,0.034373527145016125,0.0,0.0,1.0,1.0,0.0
2008-03-039,136211.01174779178,29156.525969889215,0.06935717315426222,0.04307225141145381,0.0,0.0,1.0,1.0,0.0
2008-03-040,133082.0430908605,28816.81174198846,0.0802326356311584,0.04982674545264518,0.0,0.0,1.0,1.0,0.0
2008-03-041,141717.5681841724,31121.71576375663,0.06122916466719109,0.03917039613920797,0.0,0.0,1.0,1.0,0.0
2008-03-044,131514.26499984087,28066.386731013994,0.08797527635145912,0.05861913069410534,0.0,0.0,1.0,1.0,0.0
2008-03-045,122707.6896800345,27219.008784894773,0.117182192522024,0.07444083573059831,0.0,0.0,1.0,1.0,0.0
2008-03-046,133972.6719688898,28912.01779069231,0.07104564654626006,0.04190476893087955,0.0,0.0,0.99608068923556,0.7497785581029143,0.0047177920154261
2008-03-047,134533.47608063123,28648.82995639717,0.07923158669238482,0.05285257675960377,0.0,0.0,1.0,1.0,0.0
2008-03-048,133338.7433575217,28354.6133199965,0.07206052676505467,0.04448271650071958,0.0,0.0,1.0,1.0,0.0
2008-03-049,135418.09988072133,27082.27905951679,0.07455553278389353,0.045643956005317184,0.0,0.0,1.0,1.0,0.0
2008-03-050,134199.58448087846,27686.239047299,0.08888801245384398,0.05955688245759203,0.0,0.0,1.0,1.0,0.0
2008-03-051,139109.67743563195,29904.459818533338,0.07651421941071708,0.052201100858890626,0.0,0.0,1.0,1.0,0.0
2008-03-053,135363.92332496386,27733.499953443825,0.07441048620928503,0.04561875113618201,0.0,0.0,1.0,1.0,0.0
2008-03-054,139492.27386776035,26889.339822558257,0.12812392210652176,0.09043544182593,0.0,0.0,1.0,1.0,0.0
2008-03-055,141900.67274733077,27673.721823750144,0.09160447184222968,0.060800188380418674,0.0,0.0,1.0,1.0,0.0
2008-03-056,127144.42779655242,24950.1141444598,0.17100975542876257,0.11595593926591456,0.0,0.0,1.0,1.0,0.0
2008-03-057,131738.26937652577,31693.512313398795,0.09680495082796196,0.06475007010941866,0.0,0.0,1.0,1.0,0.0
2008-03-058,131991.59783124708,28231.327719255347,0.11574940391742447,0.07854421658520154,0.0,0.0,1.0,1.0,0.0
2008-03-067,129599.1863121427,25785.200930337276,0.1479610018776015,0.10286862921422674,0.0,0.0,0.99453296776321,0.5997221542645892,0.0136580934844038
2008-03-068,133999.5859362259,27850.777730281403,0.12496530550769552,0.08769628325896692,0.0,0.0,0.9949519387655344,0.707954605485016,0.0172851937721843
2008-03-069,132477.02538873552,26376.914227932637,0.13008763740155505,0.08764127059660053,0.0,0.0,0.9924002161313789,0.707954605485016,0.0107348462877992
2008-03-070,116795.23652079586,23360.085503675244,0.24226674249448357,0.19323409274559697,0.0,0.0,0.9748823738467938,0.7963879166326313,0.1074454824011111
2008-03-071,123634.37153662654,24400.87001061411,0.18048071287157819,0.1300632898339888,0.0,0.0,0.9574596504402756,0.7963879166326313,0.0820054964577675
2008-03-072,122464.31600071347,23849.405496115185,0.16751430116282345,0.11015877864640539,0.0,0.0,0.9833636853833314,0.7963879166326313,0.058156119285286
2008-03-073,125840.61275624845,24133.970096442088,0.15472121709823577,0.10506524337268232,0.0,0.0,0.986747897610918,0.7963879166326313,0.0475791650247399
2008-03-074,125693.8273597527,24441.130193933514,0.16505987077943987,0.11836225705485345,0.0001615771004133,0.0001615771004133,0.9750220756631331,0.7963879166326313,0.0479114240672053
2008-03-075,130743.27897314721,24853.140010217077,0.1675135642237432,0.12169262796697722,0.0,0.0,1.0,1.0,0.0
2008-03-076,118248.52726245119,22293.02002217549,0.20896172876117222,0.1555118187257682,0.0,0.0,1.0,1.0,0.0
2008-03-077,121288.97472162366,23181.552802351936,0.19366976376366787,0.14138469971057016,0.0003791009482422,0.0003791009482422,0.998249916560162,0.7963879166326313,0.0018832068274096
2008-03-078,119433.9426929832,22707.921923090405,0.17672266698348707,0.12027172775414935,0.0,0.0,1.0,1.0,0.0
2008-03-079,109430.70303888741,21298.00498951606,0.24862554958044725,0.17732279666069187,0.0,0.0,0.9953510594297866,0.8342702053063805,0.0055724638620004
2008-03-080,104897.97994565018,20394.353563265744,0.2384253863683288,0.16711303662370225,1.1102230246251563e-16,1.1102230246251563e-16,0.9919811915853792,0.8342702053063805,0.0483848328506337
2008-03-085,114834.60759166245,22501.424363932005,0.2414048532479562,0.16911263888838082,0.0,0.0,0.9956255586597514,0.7963879166326313,0.0062694432041938
2008-03-086,119348.33581341272,23201.585511980906,0.20932033016120913,0.1413515795365038,0.0001754388177358,0.0001754388177358,0.9732352447817376,0.7963879166326313,0.0492213214189464
2008-03-087,129178.27936182467,24911.379657419977,0.14274028142367015,0.09401061884429357,0.0,0.0,0.9879496255832914,0.7963879166326313,0.0231283382969184
2008-03-088,129544.29486823328,25400.530966667695,0.12380142730914598,0.07365302835188675,0.0,0.0,0.9355695080298446,0.7963879166326313,0.1165338357302855
2008-03-089,128269.49463643855,26900.124360198308,0.12294717038208589,0.0758363367973483,1.1102230246251563e-16,1.1102230246251563e-16,0.9719768088382486,0.7963879166326313,0.0747872492988972
2008-03-090,127948.05000320124,26064.682279391127,0.1398939517709345,0.090671710599006,0.0,0.0,0.9833288121229682,0.7963879166326313,0.0245093898284778
